train_loss,val_loss,acc,f1,pck10,pck25,pck50
0.6306365922093391,0.2574353745350471,0.955,0.9493158117720513,0.0,0.015,0.04
0.4535188698768616,0.249727719105207,0.98,0.9802267104348248,0.0,0.015,0.06
0.4251003906130791,0.2710219690432915,0.985,0.9842198930014193,0.0,0.015,0.05
0.421520267277956,0.19313428837519425,0.995,0.995801686958513,0.005,0.02,0.055
0.3458113870024681,0.24450552463531494,0.99,0.9884435351990519,0.0,0.005,0.045
0.26731868922710417,0.18394775574023908,0.995,0.995801686958513,0.0,0.01,0.06
0.3192989507317543,0.18074366679558387,1.0,1.0,0.005,0.005,0.04
0.2967741674184799,0.17561713147621888,1.0,1.0,0.0,0.01,0.06
0.2632858704030514,0.2679220638596095,0.98,0.9829826732673267,0.005,0.01,0.035
0.25943451419472696,0.17692273969833666,1.0,1.0,0.0,0.0,0.03
0.28592122107744217,0.29909746979291624,0.965,0.9709970243700328,0.005,0.005,0.02
0.2639674949645996,0.1772557170345233,0.995,0.9936131169419222,0.0,0.005,0.03
0.19889776557683944,0.17552002977866393,1.0,1.0,0.0,0.0,0.04
0.22316614285111427,0.17595140349406463,1.0,1.0,0.0,0.005,0.035
0.20785121366381645,0.17353517160965845,1.0,1.0,0.0,0.005,0.03
0.20577769964933396,0.1964740099815222,0.995,0.9936131169419222,0.0,0.01,0.035
0.17736809119582175,0.17353695057905638,1.0,1.0,0.0,0.005,0.03
0.1786540262401104,0.17290458656274355,1.0,1.0,0.0,0.015,0.025
0.17328279361128807,0.17417500970455316,1.0,1.0,0.0,0.01,0.03
0.18549631804227829,0.17382154728357607,1.0,1.0,0.0,0.005,0.035
0.19350509122014045,0.1767039276086367,1.0,1.0,0.0,0.005,0.04
0.21126217171549797,0.17555077832478744,1.0,1.0,0.0,0.0,0.04
0.20001082375645637,0.17422234610869333,1.0,1.0,0.0,0.005,0.045
